taxon,phylo,state_name,state,total,tail_index,hf_hb,ear,logmass,hb
Pogonomys_loriae,Pogonomys_loriae,C,2,0.591975899,1.401661522,-1.30116169,-0.892580386,4.551241844,0.042194907
Pogonomys_macrourus,Pogonomys_macrourus,C,2,-0.176989246,1.002716243,-1.386353007,-1.210067916,3.854182006,-0.455269075
Pogonomys_sylvestris,Pogonomys_sylvestris,C,2,-0.15627359,0.980393407,-1.247603913,-1.210067916,3.788498519,-0.430803634
Praomys_daltoni,Praomys_daltoni,C,2,-0.615332524,0.245700607,-1.061247906,-0.500389908,3.539508997,-0.646099521
Praomys_delectorum,Praomys_delectorum,C,2,-0.617818403,0.820966125,0.628171086,0.171936625,3.476614021,-0.787999083
Praomys_hartwigi,Praomys_hartwigi,C,2,-0.097441128,0.985219966,-0.178640802,-0.089523693,3.871825816,-0.38187275
Praomys_jacksoni,Praomys_jacksoni,C,2,-0.301283181,0.657164774,-0.998294028,0.059882203,3.686626919,-0.463424222
Praomys_minor,Praomys_minor,C,2,-0.562300445,0.892157872,-0.155150549,-0.92993186,3.73385282,-0.757009523
Praomys_misonnei,Praomys_misonnei,C,2,-0.404861461,0.674359391,-0.554484849,-0.761850227,3.688879454,-0.561285989
Praomys_morio,Praomys_morio,C,2,-0.459550792,0.518853689,-0.333676471,-0.257605327,3.746440565,-0.569441137
Praomys_mutoni,Praomys_mutoni,C,2,-0.321998837,0.938915164,-0.774353617,-0.313632538,3.80666249,-0.561285989
Praomys_petteri,Praomys_petteri,C,2,-0.3302851,0.62217222,0.024628187,-0.220253853,3.891820298,-0.479734517
Praomys_rostratus,Praomys_rostratus,C,2,-0.388288936,0.728959841,0.462173299,-0.780525964,3.912023005,-0.561285989
Praomys_tullbergi,Praomys_tullbergi,C,2,-0.479437822,0.730468141,0.365080253,-0.687147279,3.565298392,-0.642837462
Praomys_verschureni,Praomys_verschureni,C,2,-0.286367909,0.629864549,0.953589391,0.115909414,3.927896355,-0.44222084
Rattus_argentiventer,Rattus_argentiventer,C,2,0.630921332,-0.270892051,-0.779991277,0.433396944,5.050624942,0.751692717
Rattus_everetti,Rattus_everetti,C,2,1.123953942,-0.154149652,-0.328665217,1.367183795,5.717915465,1.200225816
Rattus_exulans,Rattus_exulans,C,2,-0.100755633,0.407842828,-0.799096683,-0.444362697,4.141864078,-0.20572157
Rattus_fuscipes,Rattus_fuscipes,C,2,0.017737919,-0.230620448,-0.291394016,0.993669055,4.608065989,0.112818482
Rattus_losea,Rattus_losea,C,2,-0.164559853,-0.340726329,-0.382849401,-0.500389908,4.508879526,-0.039356566
Rattus_nitidus,Rattus_nitidus,C,2,0.407192249,0.140722946,0.04999766,-0.313632538,4.740662155,0.368400797
Rattus_norvegicus,Rattus_norvegicus,C,2,0.759358399,-0.694120956,-1.097266294,-0.407011223,5.816247692,1.061588312
Rattus_novaeguineae,Rattus_novaeguineae,C,2,0.297813586,-0.232581238,-1.236015388,0.209288099,4.89671977,0.397759327
Rattus_rattus,Rattus_rattus,C,2,0.650808362,0.326394643,-0.56482056,0.564127103,4.988321516,0.528241683
Rattus_steini,Rattus_steini,C,2,0.158604379,-0.700757475,-0.446429685,-0.052172219,5.031025984,0.41733168
Rattus_tanezumi,Rattus_tanezumi,C,2,0.817362235,-0.131525156,-0.941291014,0.526775629,5.025720932,0.882175073
Rhabdomys_pumilio,Rhabdomys_pumilio,C,2,-0.562300445,-0.008900388,-0.327412404,-1.041986282,3.688379329,-0.531927459
Soricomys_kalinga,Soricomys_kalinga,C,2,-0.86060589,-0.337408069,0.550809853,-1.060662019,3.218875825,-0.757009523
Stenocephalemys_albipes,Stenocephalemys_albipes,C,2,-0.388288936,0.669080342,0.534836481,0.433396944,3.908014984,-0.544975695
Stochomys_longicaudatus,Stochomys_longicaudatus,C,2,0.478454105,1.41493456,-0.494036598,-0.182902379,4.29701326,-0.054035831
Sundamys_annandalei,Sundamys_annandalei,C,2,0.817362235,0.627300439,-0.382849401,0.153260888,5.28568795,0.555969183
Sundamys_infraluteus,Sundamys_infraluteus,C,2,2.279887539,0.720211703,0.168388535,0.993669055,6.03667689,1.820017006
Sundamys_maxi,Sundamys_maxi,C,2,1.900376724,0.656108964,0.068163456,0.993669055,5.888877958,1.518276558
Taeromys_celebensis,Taeromys_celebensis,C,2,1.655103358,0.776018793,0.186554331,1.292480847,5.532203014,1.232846405
Thallomys_loringi,Thallomys_loringi,C,2,0.034310443,0.384011693,-0.945989065,0.564127103,4.382026635,-0.071977155
Tonkinomys_daovantieni,Tonkinomys_daovantieni,C,2,0.589490021,-0.600757203,-0.711086535,1.927455907,5.150397236,0.841399337
Uromys_caudimaculatus,Uromys_caudimaculatus,C,2,2.260829136,0.489592674,-0.40696606,0.993669055,6.451038981,1.945606274
