taxon,phylo,state_name,state,total,tail_index,hf_hb,ear,logmass,hb
Bandicota_bengalensis,Bandicota_bengalensis,SA,4,0.394762856,-0.936052233,-1.229124914,0.433396944,5.462347653,0.759847864
Bandicota_indica,Bandicota_indica,T,3,1.832429372,-0.453396319,-0.463655871,1.927455907,6.028350807,2.080981718
Bandicota_savilei,Bandicota_savilei,T,3,0.465196085,-0.775267482,-0.905899033,0.806911684,5.437296394,0.776158159
Batomys_granti,Batomys_granti,C,2,0.41133538,-1.082055647,-1.119816937,0.283991047,5.161466184,0.83324419
Batomys_hamiguitan,Batomys_hamiguitan,T,3,0.026024181,-1.587486888,-0.828224597,0.713532999,5.153291594,0.56412433
Batomys_salomonseni,Batomys_salomonseni,T,3,0.316043363,-0.827303822,-0.686969876,0.433396944,5.224455518,0.661986097
Batomys_uragon,Batomys_uragon,T,3,0.30361397,-0.809807546,-0.588310813,0.246639573,5.814130532,0.613055214
Berylmys_berdmorei,Berylmys_berdmorei,T,3,0.614348808,-0.737409158,-1.012701383,0.90029037,5.459585514,0.922950809
Berylmys_bowersi,Berylmys_bowersi,C,2,2.036271426,0.176922139,0.096978166,2.300970647,5.947225262,1.922771862
Berylmys_manipulus,Berylmys_manipulus,T,3,0.204178822,0.092306524,4.04584629,0.806911684,4.753590191,0.188987557
Bullimus_bagobus,Bullimus_bagobus,T,3,1.351826156,-1.533489757,-0.797530666,1.553941166,6.047584922,2.118495396
Bullimus_gamay,Bullimus_gamay,T,3,0.775930923,-1.45913058,0.07317471,1.180426425,5.907539312,1.404104497
Bullimus_luzonicus,Bullimus_luzonicus,T,3,1.389114337,-0.660184212,0.024941391,2.581106703,6.103676538,1.722155239
Bunomys_andrewsi,Bunomys_andrewsi,T,3,0.043425332,-0.467875996,0.493493636,1.012344792,4.905274778,0.216715058
Bunomys_chrysocomus,Bunomys_chrysocomus,T,3,0.017737919,-0.465311887,-0.006378947,0.564127103,4.663910681,0.188987557
Bunomys_fratrorum,Bunomys_fratrorum,T,3,0.352502918,0.023980546,0.533583668,1.367183795,5.028213226,0.35861462
Bunomys_penitus,Bunomys_penitus,T,3,0.36078918,-0.090650233,0.438369843,1.143074951,4.976043849,0.409176533
Bunomys_torajae,Bunomys_torajae,T,3,0.366589564,-0.264104702,-0.195240581,1.329832321,4.76046307,0.479310799
Carpomys_melanurus,Carpomys_melanurus,A,1,0.535629315,3.00E-04,-1.139548749,0.059882203,5.105945474,0.547814036
Carpomys_phaeurus,Carpomys_phaeurus,A,1,0.249753264,0.00150688,-1.269528149,-0.126875168,4.812184355,0.479310799
Chiromyscus_chiropus,Chiromyscus_chiropus,A,1,0.562973981,1.46636758,-0.893057695,-0.033496482,4.354141431,-0.006735977
Chiromyscus_thomasi,Chiromyscus_thomasi,A,1,0.651636988,1.059579143,-1.421744988,-0.126875168,4.49980967,0.229763293
Chiropodomys_gliroides,Chiropodomys_gliroides,A,1,-0.687423007,1.320665826,-0.322714353,-0.687147279,3.173459961,-0.965781293
Chiropodomys_major,Chiropodomys_major,A,1,-0.539927537,0.756109236,0.349733288,-0.537741382,3.502549876,-0.703185552
Chiruromys_vates,Chiruromys_vates,A,1,-0.218420558,1.463652641,0.100423403,-0.500389908,3.822754538,-0.626527167
Chrotomys_gonzalesi,Chrotomys_gonzalesi,T,3,-0.301283181,-2.129569811,-0.033940844,0.340018258,4.918520005,0.32762506
Chrotomys_mindorensis,Chrotomys_mindorensis,T,3,-0.11898541,-1.646008917,0.041227966,0.246639573,5.098279804,0.409176533
Chrotomys_sibuyanensis,Chrotomys_sibuyanensis,T,3,-0.47115156,-2.42006834,-0.162980633,-0.126875168,4.644390899,0.188987557
Chrotomys_silaceus,Chrotomys_silaceus,T,3,-0.247422476,-1.419160637,0.326556238,0.246639573,4.74927053,0.188987557
Chrotomys_whiteheadi,Chrotomys_whiteheadi,T,3,-0.139701066,-1.379944844,0.308077239,0.993669055,5.008900457,0.303159619
Coccymys_ruemmleri,Coccymys_ruemmleri,C,2,-0.255708739,1.417649499,0.307450833,-0.500389908,3.451573589,-0.642837462
Colomys_goslingi,Colomys_goslingi,SA,4,-0.136386561,1.014782641,2.87947693,-0.350984012,4.119037175,-0.424279516
Conilurus_penicillatus,Conilurus_penicillatus,A,1,0.601919414,-0.100906671,1.15685838,0.433396944,5.249862146,0.65383095
Crateromys_heaneyi,Crateromys_heaneyi,A,1,2.491187229,0.520211158,0.297115121,0.433396944,4.820281566,2.138067749
Crateromys_schadenbergi,Crateromys_schadenbergi,A,1,3.170660741,1.448117154,-0.090943857,1.049696266,7.279318835,3.464094691
Cremnomys_cutchicus,Cremnomys_cutchicus,T,3,-0.338571362,0.712217714,-0.393811519,0.059882203,4.091005661,-0.512355106
Crossomys_moncktoni,Crossomys_moncktoni,SA,4,0.87122294,0.533333366,1.711228349,-3.152344568,5.116255776,0.645675803
Crunomys_celebensis,Crunomys_celebensis,T,3,-0.872206657,-1.220215903,0.135188978,-1.060662019,3.877431561,-0.584120402
Crunomys_melanius,Crunomys_melanius,T,3,-0.895408192,-1.143443446,0.584322614,-0.873904649,3.998200702,-0.626527167
Crunomys_suncoides,Crunomys_suncoides,T,3,-0.744598217,-0.241932696,1.011532015,-0.687147279,3.610917913,-0.659147756
Dacnomys_millardi,Dacnomys_millardi,T,3,1.276421169,0.938161014,0.246689378,1.927455907,5.125748101,0.818564925
Dasymys_incomtus,Dasymys_incomtus,T,3,0.00199402,-0.228810489,0.042167576,0.227963836,4.879234962,0.096018879
Dasymys_rufulus,Dasymys_rufulus,T,3,-0.078382724,0.031522045,0.387630896,-0.145550905,4.356708827,-0.067084066
Dephomys_defua,Dephomys_defua,A,1,0.182634539,1.615840084,-0.246919137,-0.481714171,3.807328934,-0.360669367
Desmomys_harringtoni,Desmomys_harringtoni,C,2,-0.283882031,-0.217347411,-0.476497209,-0.42568696,4.349632567,-0.197566422
Diplothrix_legata,Diplothrix_legata,A,1,2.163879866,0.145398675,-1.46559346,1.927455907,4.337552145,2.064671424
Echiothrix_centrosa,Echiothrix_centrosa,T,3,1.227532221,0.634992768,0.973321203,2.674485388,5.533389489,0.922950809
Echiothrix_leucura,Echiothrix_leucura,T,3,1.335253632,0.17465969,0.837390939,2.487728018,4.153870542,1.249156699
Eropeplus_canus,Eropeplus_canus,C,2,2.023013406,0.163498272,-1.166797443,1.27380511,5.776103136,1.917878773
Golunda_ellioti,Golunda_ellioti,C,2,-0.718910804,-1.578587919,-0.500927072,-0.668471542,4.12826278,-0.326417749
Gracilimus_radix,Gracilimus_radix,T,3,-0.181132377,1.127000141,0.878733785,-1.24741939,3.713572067,-0.496044811
Grammomys_dolichurus,Grammomys_dolichurus,C,2,-0.11898541,1.439519845,-0.434841161,-0.463038434,3.677059877,-0.540082607
Grammomys_ibeanus,Grammomys_ibeanus,A,1,0.034310443,1.558826354,-0.965407674,0.059882203,3.748326913,-0.456900105
Grammomys_macmillani,Grammomys_macmillani,A,1,-0.23333583,1.662748206,-0.003246913,-0.687147279,3.676553804,-0.696661434
Haeromys_minahassae,Haeromys_minahassae,A,1,-0.9683273,1.585372429,1.881610984,-0.687147279,2.687847494,-1.246318358
Halmaheramys_bokimekot,Halmaheramys_bokimekot,T,3,-0.197704902,-0.620063439,-0.596454101,-0.145550905,4.496470769,0.009574318
Hapalomys_delacouri,Hapalomys_delacouri,A,1,-0.160416722,0.563801021,-1.255747201,-0.967283334,4.163559631,-0.308476425
Heimyscus_fumosus,Heimyscus_fumosus,T,3,-0.974127684,1.162897674,0.318099747,-0.985959071,2.756840365,-1.168028945
Hybomys_badius,Hybomys_badius,T,3,-0.51506875,-0.247362575,0.678910033,-0.556417119,4.154184563,-0.424279516
Hybomys_lunaris,Hybomys_lunaris,T,3,-0.628590544,0.247510567,0.431479368,-0.500389908,3.990834186,-0.659147756
Hybomys_planifrons,Hybomys_planifrons,T,3,-0.645163069,-0.910712798,0.910367325,-0.42568696,3.918005077,-0.398183045
Hybomys_trivirgatus,Hybomys_trivirgatus,T,3,-0.620304282,-0.797288658,1.21354819,-0.500389908,4.061132428,-0.398183045
Hybomys_univittatus,Hybomys_univittatus,T,3,-0.614503898,-0.596835623,0.379487608,-0.780525964,3.959478947,-0.44058981
Hydromys_chrysogaster,Hydromys_chrysogaster,SA,4,2.007269508,-0.302868006,0.061272982,-0.444362697,6.491209001,2.175581426
Hydromys_neobrittanicus,Hydromys_neobrittanicus,SA,4,2.304746326,0.023829716,-0.29358644,-0.873904649,4.954911145,2.276705252
Hylomyscus_aeta,Hylomyscus_aeta,A,1,-0.549042426,1.346457752,0.185301517,-0.687147279,3.195402469,-0.859764379
Hylomyscus_alleni,Hylomyscus_alleni,C,2,-0.695709269,1.684618552,0.599356376,-0.761850227,2.973997781,-1.057118942
Hylomyscus_anselli,Hylomyscus_anselli,A,1,-0.429720248,1.384617735,-0.306427778,0.059882203,3.349904087,-0.773319818
Hylomyscus_arcimontensis,Hylomyscus_arcimontensis,A,1,-0.487724084,1.267573676,0.071921896,-0.313632538,3.36729583,-0.789630112
Hylomyscus_baeri,Hylomyscus_baeri,A,1,-0.537441658,0.726244902,-0.371260876,-0.631120068,3.45946629,-0.693399375
Hylomyscus_denniae,Hylomyscus_denniae,A,1,-0.522526386,1.360334109,-0.223115681,-0.313632538,3.496507561,-0.817357613
Hylomyscus_grandis,Hylomyscus_grandis,C,2,-0.514240124,1.386578525,-0.34745742,-0.593768594,3.496507561,-0.841823055
Hylomyscus_parvus,Hylomyscus_parvus,C,2,-1.192056384,1.713577907,0.489421992,-1.060662019,2.635479508,-1.442041892
Hylomyscus_stella,Hylomyscus_stella,C,2,-0.636876806,1.335597994,-0.657215555,-0.313632538,2.965273066,-0.928267616
Hyomys_goliath,Hyomys_goliath,C,2,2.797778936,-0.137407525,-1.085364566,0.956317581,6.738886822,2.872031001
Hyorhinomys_stumpkei,Hyorhinomys_stumpkei,T,3,0.867079809,0.319154804,1.760088075,3.60827224,5.382198851,0.735382423
Kadarsanomys_sodyi,Kadarsanomys_sodyi,A,1,1.500978879,1.393365873,-0.506564733,0.545451366,4.370586445,0.776158159
Komodomys_rintjanus,Komodomys_rintjanus,T,3,0.236495245,-0.551284971,-0.319582319,0.059882203,4.302036009,0.44832124
Lamottemys_okuensis,Lamottemys_okuensis,T,3,-0.398232451,-0.025340855,0.241051718,-0.593768594,4.025351691,-0.365562456
Leggadina_forresti,Leggadina_forresti,T,3,-1.018044874,-1.360487778,-1.096639887,-0.873904649,3.088311455,-0.724388934
Leggadina_lakedownensis,Leggadina_lakedownensis,T,3,-1.540079402,-1.791258181,-0.106917229,-1.620934131,2.931193752,-1.03428453
Lemniscomys_barbarus,Lemniscomys_barbarus,T,3,-0.626104665,0.743590349,0.794168874,-0.817877438,3.421979921,-0.776581877
Lemniscomys_bellieri,Lemniscomys_bellieri,T,3,-0.645163069,0.113121061,0.480025891,-0.705823016,3.583518938,-0.642837462
Lemniscomys_macculus,Lemniscomys_macculus,T,3,-0.751227227,0.365761266,0.316846934,-0.948607597,3.346389145,-0.802678348
Lemniscomys_rosalia,Lemniscomys_rosalia,T,3,-0.248251102,-0.121117888,-0.659721182,-1.564906919,3.935934825,-0.189411275
Lemniscomys_striatus,Lemniscomys_striatus,T,3,-0.428891622,0.575264099,0.607499664,-0.873904649,3.743130869,-0.556392901
Lemniscomys_zebra,Lemniscomys_zebra,T,3,-0.603731757,0.744796989,0.704592709,-0.855228912,3.586292865,-0.757009523
Lenomys_meyeri,Lenomys_meyeri,C,2,1.920263753,0.044493423,-1.245098286,1.367183795,5.783825182,1.887296971
Lenothrix_canus,Lenothrix_canus,A,1,1.003803138,0.639216007,-1.09131543,0.171936625,5.09681299,0.719072128
Leopoldamys_edwardsi,Leopoldamys_edwardsi,C,2,2.047872193,0.756561726,-0.707328095,2.114213277,5.78662127,1.591672883
Leopoldamys_milleti,Leopoldamys_milleti,T,3,2.24674249,1.069232261,-0.426697873,2.114213277,5.818241473,1.575362589
Leopoldamys_neilli,Leopoldamys_neilli,T,3,1.558982715,0.831373393,-0.756501024,1.367183795,5.38907173,1.118674343
Leopoldamys_sabanus,Leopoldamys_sabanus,C,2,2.36772192,1.501963454,-0.581107136,1.441886744,5.851368799,1.404104497
Leporillus_conditor,Leporillus_conditor,C,2,0.630921332,-0.371344813,0.176845026,2.300970647,5.827208816,0.792468453
Leptomys_elegans,Leptomys_elegans,T,3,0.004479899,-0.095024302,1.124911636,0.227963836,4.44804843,0.055243142
Limnomys_bryophilus,Limnomys_bryophilus,T,3,0.009451656,1.01629094,1.035648674,0.489424155,4.160444364,-0.300321278
Limnomys_sibuanus,Limnomys_sibuanus,C,2,-0.127271672,0.79547586,0.456535638,0.246639573,4.163559631,-0.349252161
Lorentzimys_nouhuysi,Lorentzimys_nouhuysi,A,1,-0.930210493,1.554603115,1.032516641,-0.631120068,2.706048198,-1.21043571
