Species,state
Paucidentomys_vermidax,T
Pelomys_campanae,T
Pelomys_fallax,T
Phloeomys_cumingi,A
Phloeomys_pallidus,A
Pithecheir_melanurus,A
Pithecheir_parvus,A
Pogonomelomys_mayeri,A
Pogonomys_loriae,C
Pogonomys_macrourus,C
Pogonomys_sylvestris,C
Praomys_daltoni,C
Praomys_degraaffi,T
Praomys_delectorum,C
Praomys_derooi,T
Praomys_hartwigi,C
Praomys_jacksoni,C
Praomys_lukolelae,T
Praomys_minor,C
Praomys_misonnei,C
Praomys_morio,C
Praomys_mutoni,C
Praomys_obscurus,T
Praomys_petteri,C
Praomys_rostratus,C
Praomys_tullbergi,C
Praomys_verschureni,C
Pseudohydromys_ellermani,T
Pseudomys_apodemoides,T
Pseudomys_australis,T
Pseudomys_delicatulus,T
Pseudomys_desertor,T
Pseudomys_hermannsburgensis,T
Rattus_andamanensis,A
Rattus_argentiventer,C
Rattus_baluensis,T
Rattus_colletti,T
Rattus_everetti,C
Rattus_exulans,C
Rattus_facetus,T
Rattus_fuscipes,C
Rattus_giluwensis,T
Rattus_hoffmanni,C
Rattus_leucopus,T
Rattus_losea,C
Rattus_lutreolus,T
Rattus_macleari,A
Rattus_morotaiensis,A
Rattus_niobe,T
Rattus_nitidus,C
Rattus_norvegicus,C
Rattus_novaeguineae,C
Rattus_praetor,T
Rattus_rattus,C
Rattus_sordidus,T
Rattus_steini,C
Rattus_tanezumi,C
Rattus_tiomanicus,C
Rattus_tunneyi,T
Rattus_verecundus,T
Rattus_villosissimus,T
Rattus_xanthurus,T
Rhabdomys_pumilio,C
Rhynchomys_banahao,T
Rhynchomys_isarogensis,T
Rhynchomys_soricoides,T
Rhynchomys_tapulao,T
Saxatilomys_paulinae,T
Solomys_salebrosus,A
Sommeromys_macrorhinos,A
Soricomys_kalinga,C
Soricomys_leonardcoi,T
Soricomys_montanus,T
Soricomys_musseri,T
Stenocephalemys_albipes,C
Stenocephalemys_albocaudata,T
Stenocephalemys_griseicauda,T
Stochomys_longicaudatus,C
Sundamys_annandalei,C
Sundamys_infraluteus,C
Sundamys_maxi,C
Sundamys_muelleri,C
Taeromys_celebensis,C
Tarsomys_apoensis,T
Tateomys_macrocercus,T
Tateomys_rhinogradoides,T
Thallomys_loringi,C
Thallomys_nigricauda,A
Thallomys_paedulcus,A
Thamnomys_kempi,A
Tokudaia_muenninki,T
Tokudaia_osimensis,T
Tokudaia_tokunoshimensis,T
Tonkinomys_daovantieni,C
Uromys_caudimaculatus,C
Vandeleuria_oleracea,A
Waiomys_mamasae,SA
Xenuromys_barbatus,T
Xeromys_myoides,T
Zelotomys_hildegardeae,T
Zyzomys_argurus,T
