name,state
Apodemus_semotus,3
Apodemus_speciosus,3
Apodemus_witherbyi,3
Apomys_abrae,3
Apomys_aurorae,3
Apomys_banahao,3
Apomys_brownorum,3
Apomys_camiguinensis,3
Apomys_datae,3
Apomys_hylocoetes,3
Apomys_insignis,3
Apomys_iridensis,3
Apomys_littoralis,3
Apomys_lubangensis,3
Apomys_magnus,3
Apomys_minganensis,3
Archboldomys_luzonensis,3
Archboldomys_maximus,3
Arvicanthis_abyssinicus,3
Arvicanthis_ansorgei,3
Arvicanthis_blicki,3
Arvicanthis_nairobae,3
Arvicanthis_neumanni,3
Arvicanthis_rufinus,3
Baiyankamys_shawmayeri,3
Bandicota_indica,3
Bandicota_savilei,3
Batomys_hamiguitan,3
Batomys_russatus,3
Batomys_salomonseni,3
Batomys_uragon,3
Berylmys_berdmorei,3
Berylmys_mackenziei,3
Berylmys_manipulus,3
Bullimus_bagobus,3
Bullimus_gamay,3
Bullimus_luzonicus,3
Bunomys_andrewsi,3
Bunomys_chrysocomus,3
Bunomys_coelestis,3
Bunomys_fratrorum,3
Bunomys_karokophilus,3
Bunomys_penitus,3
Bunomys_prolatus,3
Bunomys_spnov,3
Bunomys_torajae,3
Chrotomys_gonzalesi,3
Chrotomys_mindorensis,3
Chrotomys_sibuyanensis,3
Chrotomys_silaceus,3
Chrotomys_whiteheadi,3
Coryphomys_buehleri,3
Cremnomys_cutchicus,3
Cremnomys_elvira,3
Crunomys_celebensis,3
Crunomys_fallax,3
Crunomys_melanius,3
Crunomys_suncoides,3
Dacnomys_millardi,3
Dasymys_alleni,3
Dasymys_cabrali,3
Dasymys_capensis,3
Dasymys_griseifrons,3
Dasymys_incomtus,3
Dasymys_longipilosus,3
Dasymys_medius,3
Dasymys_montanus,3
Dasymys_nudipes,3
Dasymys_robertsi,3
Dasymys_rufulus,3
Dasymys_rwandae,3
Dasymys_sua,3
Diomys_crumpi,3
Echiothrix_centrosa,3
Echiothrix_leucura,3
Gracilimus_radix,3
Hadromys_humei,3
